,city_name,country,lat,humidity,temp,cloudiness,wind_speed
158,Gobabis,NA,-22.45,16,19.83,97,5.39
159,Cabedelo,BR,-6.98,88,25.99,75,8.2
160,Letterkenny,IE,54.95,93,0.87,75,11.8
161,Rønne,DK,55.1,93,8.2,84,7.7
162,Arrondissement de Thonon-les-Bains,FR,46.25,76,11.0,85,0.45
163,Hammerfest,NO,70.66,69,-6.55,20,7.2
164,Santa Maria,BR,-29.68,66,22.77,3,6.56
165,Praia,CV,14.92,75,28.14,32,6.11
166,Keuruu,FI,62.27,100,-0.43,90,4.6
167,Mossendjo,CG,-2.95,96,23.98,48,1.02
168,Kutum,SD,14.2,16,19.33,0,5.43
169,Briançon,FR,44.9,88,9.49,70,1.1
170,Hamburg,DE,53.55,67,11.2,56,7.2
171,Varhaug,NO,58.61,99,9.92,100,3.18
172,Vaasa,FI,63.1,93,-0.03,90,3.6
173,Mwense,ZM,-10.38,56,25.53,100,1.31
174,Aného,TG,6.23,83,29.51,20,4.6
175,Nara,JP,34.69,58,15.07,97,3.71
176,Lambaréné,GA,-0.7,92,27.92,83,1.08
177,Svelgen,NO,61.77,100,4.29,75,2.1
178,Goumenissa,GR,40.94,35,12.23,0,1.34
179,Marrakesh,MA,31.63,64,18.41,75,3.6
180,Belmonte,BR,-15.86,65,25.93,0,6.7
181,Saint-Nazaire,FR,47.28,100,11.94,30,2.1
182,Monrovia,LR,6.3,83,30.19,75,3.63
183,Gaoua,BF,10.3,43,29.26,11,0.71
184,Nokaneng,BW,-19.67,16,20.92,0,3.61
185,Tambacounda,SN,13.75,26,28.81,55,1.39
186,Kidal,ML,18.44,12,28.18,0,3.95
187,Willowmore,ZA,-33.29,29,12.46,0,4.53
188,Manga,BF,11.66,32,30.2,80,3.71
189,Auray,FR,47.67,100,12.51,0,1.0
190,Örnsköldsvik,SE,63.29,100,-1.14,100,2.1
191,Agropoli,IT,40.35,78,13.33,0,1.87
192,Linköping,SE,58.41,93,9.16,100,2.1
193,Sabha,LY,27.04,39,20.75,45,4.61
194,Tourlaville,FR,49.64,43,9.95,0,3.13
195,Balatonszárszó,HU,46.83,67,10.89,32,3.58
196,Šurany,SK,48.09,83,6.9,61,5.49
